ADC,Temp_datasheet_C,Temp_refit_cubic_C,Refit_minus_datasheet_C
116,23.105004873755004,22.059454565004394,-1.0455503087506095
117,22.690803446081386,21.694067670580303,-0.996735775501083
118,22.277140414184508,21.331669115246036,-0.9454712989384717
119,21.863963297614053,20.972128904449164,-0.8918343931648884
120,21.451219980733345,20.615317043637063,-0.8359029370962823
121,21.038858672509928,20.26110353825726,-0.7777551342526685
122,20.626827866917072,19.90935839375723,-0.7174694731598414
123,20.215076303869406,19.559951615584502,-0.6551246882849036
124,19.820080383992398,19.21275320918648,-0.607327174805917
125,19.443341618332312,18.86763318001067,-0.5757084383216409
126,19.066718759217675,18.524461533504585,-0.5422572257130902
127,18.69016540980281,18.183108275115735,-0.5070571346870736
128,18.313635224586392,17.84344341029147,-0.4701918142949211
129,17.937081875171504,17.505336944479353,-0.43174493069215103
130,17.56045901605689,17.16865888312695,-0.3918001329299372
131,17.183720250396807,16.833279231681573,-0.3504410187152338
132,16.80681909566607,16.499067995590842,-0.30775110007522954
133,16.429708949166482,16.16589518030213,-0.2638137688643525
134,16.052343053310786,15.83363079126304,-0.2187122620477453
135,15.674674460618899,15.502144833920951,-0.1725296266979477
136,15.29665599836089,15.171307313723375,-0.12534868463751536
137,14.918240232779144,14.840988236117767,-0.07725199666137783
138,14.539379432821365,14.51105760655173,-0.028321826269634087
139,14.160025533314116,14.181385430472567,0.02135989715845099
140,13.780130097504074,13.851841713327879,0.07171161582380492
141,13.399644278893156,13.522296460565109,0.12265218167195258
142,13.018518782289945,13.192619677631747,0.17410089534180173
143,12.636703823997458,12.862681369975242,0.2259775459777842
144,12.25414909105451,12.532351543043134,0.2782024519886246
145,11.870803699443732,12.2015002022829,0.33069650283916907
146,11.486616151176307,11.869997353141912,0.3833812019656051
147,11.101534290158373,11.537713001067814,0.4361787109094415
148,10.715505256740434,11.204517151507957,0.4890118947675237
149,10.328475440844926,10.870279809909945,0.5418043690650194
150,9.943736727270766,10.534870981721085,0.5911342544503189
151,9.576389480502227,10.198160672389022,0.6217711918867952
152,9.207941115752574,9.860018887361178,0.6520777716086048
153,8.838337726250021,9.520315632085016,0.6819779058349944
154,8.467524451758182,9.178920912008024,0.7113964602498424
155,8.095445423893507,8.835704732577724,0.7402593086842177
156,7.722043709238628,8.490537099241564,0.768493390002936
157,7.347261250095357,8.143288017447006,0.7960267673516483
158,6.971038802712759,7.793827492641526,0.8227886899287666
159,6.593315872812581,7.442025530272659,0.8487096574600779
160,6.214030648224087,7.087752135787866,0.8737214875637793
161,5.833119928426282,6.730877314634611,0.8977573862083297
162,5.450519050780977,6.3712710722603845,0.9207520214794078
163,5.0661618132252695,6.008803414112691,0.9426416008874217
164,4.679980393174588,5.6433443456389085,0.9633639524643209
165,4.291905262368829,5.274763872286684,0.9828586099178551
166,3.9018650973744857,4.902931999503451,1.0010669021289655
